year,Base case cost,Modeled wind power
2019,1067502.76949,1271085.2113
2020,1141709.09969,1337549.78473
2021,1193622.84443,1382666.2625
2022,1232762.53816,1415612.44053
2023,1260755.37637,1437931.25137
2024,1283496.39571,1455293.67077
2025,1310280.9584,1476666.16581
2026,1343053.58837,1503885.87128
2027,1370208.05321,1525798.66698
2028,1393612.27952,1544211.82623
2029,1424204.86259,1569618.72952
2030,1442932.07972,1583709.31032
2031,1475691.2608,1611388.00341
2032,1510328.97066,1640977.06836
2033,1544625.8277,1670313.28674
2034,1580429.97586,1701172.80947
2035,1602528.9444,1718935.55967
2036,1638906.18111,1750510.7523
2037,1660665.56011,1768107.57143
2038,1697303.48971,1800090.00834
