year,Base case cost,Modeled non-residential energy efficiency
2017,1013731.16276,981471.676833
2018,1103174.72315,1054880.68396
2019,1229507.43555,1159941.7784
2020,1289136.47581,1207975.01727
2021,1330826.27091,1240722.35156
2022,1361904.11816,1264454.4885
2023,1384138.67554,1280683.83114
2024,1402330.58613,1293518.28018
2025,1423554.48181,1309012.36812
2026,1450084.35142,1329111.1856
2027,1472066.24338,1345378.0194
2028,1490763.48481,1358892.8766
2029,1515777.36187,1377873.31222
2030,1530937.28736,1388475.50613
2031,1557719.82239,1409082.62899
