year,Base case diesel consumed,Modeled water and wastewater efficiency
2017,7735.04231968,5027.77750779
2018,7739.05520603,5030.38588392
2019,7743.37391066,5033.19304193
2020,7748.50561143,5036.52864743
2021,7751.91846776,5038.74700404
2022,7756.17806012,5041.51573908
2023,7757.91714849,5042.64614652
2024,7760.6549373,5044.42570925
2025,7762.44045175,5045.58629363
2026,7763.0210476,5045.96368094
2027,7763.42970502,5046.22930827
2028,7763.97170245,5046.5816066
2029,7763.29555526,5046.14211092
2030,7763.01510938,5045.9598211
2031,7762.21803846,5045.441725
