year,Base case cost,Modeled non-residential energy efficiency
2017,111752.382908,223929.411079
2018,144237.03687,253397.873002
2019,191159.314817,295963.429114
2020,212815.750792,315609.070396
2021,228456.510108,329797.5891
2022,240487.863427,340711.834257
2023,248909.810751,348351.805867
2024,254925.487411,353808.928445
2025,263347.434734,361448.900055
2026,272972.51739,370180.29618
2027,281394.464714,377820.26779
2028,287410.141374,383277.390369
2029,297035.224029,392008.786494
2030,303050.900689,397465.909072
2031,312675.983345,406197.305198
