year,Base case cost,Modeled biomass for heat (pellet)
2017,271552.754645,294843.673022
2018,292436.714645,309741.387423
2019,322602.434645,331260.308225
2020,336525.074645,341192.117825
2021,346580.314645,348365.091426
2022,354315.114645,353882.763426
2023,359729.474645,357745.133827
2024,363596.874645,360503.969827
2025,369011.234645,364366.340227
2026,375199.074645,368780.477828
2027,380613.434645,372642.848228
2028,384480.834645,375401.684228
2029,390668.674645,379815.821828
2030,394536.074645,382574.657829
2031,400723.914645,386988.795429
2032,,
2033,,
2034,,
2035,,
2036,,
