year,Base case diesel consumed,Modeled biomass for heat (cordwood)
2017,77348.0,57192.2909131
2018,77348.0,57192.2909131
2019,77348.0,57192.2909131
2020,77348.0,57192.2909131
2021,77348.0,57192.2909131
2022,77348.0,57192.2909131
2023,77348.0,57192.2909131
2024,77348.0,57192.2909131
2025,77348.0,57192.2909131
2026,77348.0,57192.2909131
2027,77348.0,57192.2909131
2028,77348.0,57192.2909131
2029,77348.0,57192.2909131
2030,77348.0,57192.2909131
2031,77348.0,57192.2909131
2032,,
2033,,
2034,,
2035,,
2036,,
