year,Water/Wastewater Heating Fuel,Non-residential Heating Fuel,Residential Heating Fuel,Water/Wastewater Electricity,Non-residential Electricity,Residential Electricity
2017,33352.48,271552.17,142956.78,-33162.55,-159799.79,-88813.07
2018,35913.51,292436.09,151120.63,-30748.91,-148199.05,-82365.64
2019,39614.52,322601.74,162912.85,-27267.72,-131442.43,-73052.69
2020,41320.51,336524.36,162382.5,-25659.19,-123708.6,-67406.29
2021,42551.74,346579.57,166173.79,-24497.09,-118123.06,-64362.84
2022,43497.71,354314.36,169090.16,-23602.4,-113826.49,-62021.73
2023,44158.51,359728.71,171131.62,-22975.08,-110818.89,-60382.95
2024,44629.78,363596.1,166241.45,-22526.51,-108670.61,-58028.14
2025,45291.04,369010.45,168207.82,-21900.13,-105663.01,-56422.14
2026,46047.37,375198.27,170455.1,-21185.08,-102225.76,-54586.71
2027,46708.39,380612.62,172421.47,-20559.01,-99218.16,-52980.7
2028,47179.41,384480.01,173826.02,-20111.08,-97069.87,-51833.56
2029,47935.03,390667.84,169349.48,-19396.23,-93632.62,-48977.76
2030,48408.95,394535.23,170700.4,-18950.77,-91484.33,-47854.02
2031,49166.05,400723.06,172861.86,-18237.31,-88047.07,-46056.05
2032,,,175293.51,,,-44033.32
2033,,,177454.97,,,-42235.35
2034,,,172744.43,,,-39374.87
2035,,,174301.17,,,-38054.48
2036,,,176636.27,,,-36073.9
