year,Base case cost,Modeled residential energy efficiency
2017,54143.7172994,53858.9497415
2018,68754.9856704,68383.386616
2019,89860.1510953,89363.128768
2020,94976.2173946,94421.3074029
2021,101810.949019,101214.231269
2022,107068.434884,106439.557321
2023,110748.674989,110097.285557
2024,108213.306093,107545.836754
2025,111785.679689,111095.69848
2026,115868.39237,115152.683311
2027,119440.765966,118702.545037
2028,121992.461392,121238.160556
2029,120371.729698,119591.701011
2030,122846.377617,122050.269024
2031,126805.814287,125983.977843
2032,131260.180542,130409.400265
2033,135219.617212,134343.109085
2034,133369.568539,132464.116579
2035,136246.689034,135321.941186
2036,140562.369776,139608.678096
