year,Base case cost,Modeled biomass for heat (cordwood)
2017,878647.65194,1024983.27759
2018,945603.22194,1074491.16877
2019,1034274.11194,1140055.67331
2020,1075895.14194,1170830.84891
2021,1104848.90194,1192239.66672
2022,1126564.22194,1208296.28007
2023,1141041.10194,1219000.68898
2024,1151898.76194,1227028.99565
2025,1166375.64194,1237733.40456
2026,1184471.74194,1251113.91569
2027,1198948.62194,1261818.32459
2028,1211615.89194,1271184.68238
2029,1227902.38194,1283227.1424
2030,1236950.43194,1289917.39796
2031,1255046.53194,1303297.90909
2032,,
2033,,
2034,,
2035,,
2036,,
