year,Base case cost,Modeled residential energy efficiency
2017,299179.721815,297308.577942
2018,309595.734093,307449.301754
2019,323389.912516,320878.908965
2020,329864.730959,327182.602146
2021,334368.952485,331567.780011
2022,337747.118629,334856.66341
2023,339999.229392,337049.252342
2024,341688.312464,338693.694041
2025,343940.423227,340886.282974
2026,346755.56168,343627.019139
2027,349007.672443,345819.608072
2028,350978.269361,347738.123388
2029,353511.893969,350204.785937
2030,368550.511847,365206.202671
2031,371495.86671,368077.155246
2032,374441.221572,370948.10782
2033,377386.576434,373819.060394
2034,380331.931296,376690.012968
2035,382393.6797,378699.67977
2036,385339.034562,381570.632344
