year,Base case diesel consumed,Modeled biomass for heat (cordwood)
2017,297642.0,220080.842927
2018,297642.0,220080.842927
2019,297642.0,220080.842927
2020,297642.0,220080.842927
2021,297642.0,220080.842927
2022,297642.0,220080.842927
2023,297642.0,220080.842927
2024,297642.0,220080.842927
2025,297642.0,220080.842927
2026,297642.0,220080.842927
2027,297642.0,220080.842927
2028,297642.0,220080.842927
2029,297642.0,220080.842927
2030,297642.0,220080.842927
2031,297642.0,220080.842927
2032,,
2033,,
2034,,
2035,,
2036,,
