year,Base case diesel consumed,Modeled biomass for heat (pellet)
2017,297642.0,212324.72722
2018,297642.0,212324.72722
2019,297642.0,212324.72722
2020,297642.0,212324.72722
2021,297642.0,212324.72722
2022,297642.0,212324.72722
2023,297642.0,212324.72722
2024,297642.0,212324.72722
2025,297642.0,212324.72722
2026,297642.0,212324.72722
2027,297642.0,212324.72722
2028,297642.0,212324.72722
2029,297642.0,212324.72722
2030,297642.0,212324.72722
2031,297642.0,212324.72722
2032,,
2033,,
2034,,
2035,,
2036,,
