year,Base case cost,Modeled biomass for heat (pellet)
2017,857971.047101,1000523.1663
2018,938334.387101,1057850.84265
2019,1048461.9271,1136410.99172
2020,1105013.9071,1176752.68989
2021,1140730.9471,1202231.65716
2022,1170495.1471,1223464.12988
2023,1188353.6671,1236203.61351
2024,1206212.1871,1248943.09714
2025,1224070.7071,1261682.58078
2026,1247882.0671,1278668.55896
2027,1268717.0071,1293531.28986
2028,1286575.5271,1306270.77349
2029,1307410.4671,1321133.5044
2030,1322292.5671,1331749.74076
2031,1346103.9271,1348735.71894
2032,,
2033,,
2034,,
2035,,
2036,,
