year,annotation,consumption kWh,residential kWh,non-residential kWh
2003,,588069.0,227029.0,361040.0
2004,,566028.0,225107.0,340921.0
2005,,550359.0,215706.0,334653.0
2006,,555406.0,205359.0,350047.0
2007,,592195.0,198139.0,394056.0
2008,,617064.0,206206.0,410858.0
2009,,628656.0,210322.0,418334.0
2010,,615784.0,221832.0,393952.0
2011,,601469.0,216570.0,384899.0
2012,,634267.0,218494.0,415773.0
2013,,654588.0,210498.0,444090.0
2014,start of forecast,630036.0,215115.0,414921.0
2015,,630032.0,215111.0,414921.0
2016,,630050.0,215130.0,414921.0
2017,,630073.0,215152.0,414921.0
2018,,630096.0,215175.0,414921.0
2019,,630123.0,215203.0,414921.0
2020,,630151.0,215230.0,414921.0
2021,,630178.0,215257.0,414921.0
2022,,630197.0,215276.0,414921.0
2023,,630212.0,215291.0,414921.0
2024,,630230.0,215310.0,414921.0
2025,,630254.0,215333.0,414921.0
2026,,630294.0,215374.0,414921.0
2027,,630335.0,215414.0,414921.0
2028,,630381.0,215460.0,414921.0
2029,,630427.0,215507.0,414921.0
2030,,630489.0,215568.0,414921.0
2031,,630546.0,215626.0,414921.0
2032,,630595.0,215674.0,414921.0
2033,,630646.0,215726.0,414921.0
2034,,630708.0,215787.0,414921.0
2035,,630758.0,215837.0,414921.0
2036,,630806.0,215885.0,414921.0
2037,,630851.0,215930.0,414921.0
2038,,630892.0,215972.0,414921.0
2039,,630935.0,216014.0,414921.0
2040,,630978.0,216057.0,414921.0
