year,Base case diesel consumed,Allakaket (unnamed stream nw) -- unnamed creek,Alatna/ allakaket (unnamed creek 2.5 mi s of) -- unnamed creek
2021,57860.5290873,37670.844437,42224.9004252
2022,57860.5290873,37670.844437,42224.9004252
2023,57860.5290873,37670.844437,42224.9004252
2024,57860.5290873,37670.844437,42224.9004252
2025,57860.5290873,37670.844437,42224.9004252
2026,57860.5290873,37670.844437,42224.9004252
2027,57860.5290873,37670.844437,42224.9004252
2028,57860.5290873,37670.844437,42224.9004252
2029,57860.5290873,37670.844437,42224.9004252
2030,57860.5290873,37670.844437,42224.9004252
2031,57860.5290873,37670.844437,42224.9004252
2032,57860.5290873,37670.844437,42224.9004252
2033,57860.5290873,37670.844437,42224.9004252
2034,57941.4529042,37751.7682539,42305.8242421
2035,57941.4529042,37751.7682539,42305.8242421
2036,57941.4529042,37751.7682539,42305.8242421
2037,57941.4529042,37751.7682539,42305.8242421
2038,57941.4529042,37751.7682539,42305.8242421
2039,57941.4529042,37751.7682539,42305.8242421
2040,57941.4529042,37751.7682539,42305.8242421
2041,57941.4529042,37751.7682539,42305.8242421
2042,57941.4529042,37751.7682539,42305.8242421
2043,57941.4529042,37751.7682539,42305.8242421
2044,57941.4529042,37751.7682539,42305.8242421
2045,57941.4529042,37751.7682539,42305.8242421
2046,57941.4529042,37751.7682539,42305.8242421
2047,57941.4529042,37751.7682539,42305.8242421
2048,57941.4529042,37751.7682539,42305.8242421
2049,57941.4529042,37751.7682539,42305.8242421
2050,57941.4529042,37751.7682539,42305.8242421
2051,57941.4529042,37751.7682539,42305.8242421
2052,57941.4529042,37751.7682539,42305.8242421
2053,57941.4529042,37751.7682539,42305.8242421
2054,57941.4529042,37751.7682539,42305.8242421
2055,57941.4529042,37751.7682539,42305.8242421
2056,57941.4529042,37751.7682539,42305.8242421
2057,57941.4529042,37751.7682539,42305.8242421
2058,57941.4529042,37751.7682539,42305.8242421
2059,57941.4529042,37751.7682539,42305.8242421
2060,57941.4529042,37751.7682539,42305.8242421
2061,57941.4529042,37751.7682539,42305.8242421
2062,57941.4529042,37751.7682539,42305.8242421
2063,57941.4529042,37751.7682539,42305.8242421
2064,57941.4529042,37751.7682539,42305.8242421
2065,57941.4529042,37751.7682539,42305.8242421
2066,57941.4529042,37751.7682539,42305.8242421
2067,57941.4529042,37751.7682539,42305.8242421
2068,57941.4529042,37751.7682539,42305.8242421
2069,57941.4529042,37751.7682539,42305.8242421
2070,57941.4529042,37751.7682539,42305.8242421
