year,Water/Wastewater Heating Fuel,Non-residential Heating Fuel,Residential Heating Fuel,Water/Wastewater Electricity,Non-residential Electricity,Residential Electricity
2017,42237.41,436733.11,231145.08,15716.49,276538.11,152028.06
2018,45382.69,469326.15,241651.57,16483.67,289922.68,159386.28
2019,49734.29,514418.94,256187.39,17544.55,308440.36,169566.46
2020,51772.68,535597.02,263014.22,18047.51,317137.29,174347.63
2021,53193.24,550389.62,267782.67,18401.61,323211.98,177687.22
2022,54254.11,561434.77,271343.12,18665.75,327747.74,180180.78
2023,54987.23,569077.61,273806.82,18849.36,330886.33,181906.24
2024,55581.02,575290.51,282768.89,19000.49,333437.7,187209.05
2025,56305.97,582884.05,285278.46,19185.87,336556.04,188959.85
2026,57179.43,592080.12,288317.64,19414.25,340332.48,191080.13
2027,57899.85,599698.31,290835.36,19606.14,343460.94,192836.61
2028,58496.63,606059.13,292937.53,19770.41,346073.06,194303.19
2029,59304.61,614614.18,295764.87,19986.58,349586.25,196275.68
2030,59787.44,619865.56,304822.27,20130.63,351742.77,201600.76
2031,60673.32,629283.52,308011.39,20371.45,355610.32,203817.44
2032,61559.62,638676.82,311192.16,20609.13,359467.75,206028.31
2033,62458.38,648218.05,314423.02,20851.7,363385.92,208274.01
2034,63404.63,658301.68,317837.55,21110.98,367526.84,210647.37
2035,63982.45,664514.57,327626.42,21275.09,370078.21,216438.45
2036,64930.78,674573.54,331114.41,21529.72,374209.0,218854.32
2037,65509.55,680786.43,333268.77,21692.83,376760.37,220346.48
2038,66469.1,690944.02,336790.96,21948.1,380931.65,222786.03
2039,67202.34,698759.45,339501.0,22148.69,384141.11,224663.07
2040,68248.06,709829.25,343339.5,22426.65,388687.01,227321.72
