year,annotation,diesel generation efficiency
2002,,11.65
2003,,11.83
2004,,12.09
2005,,12.07
2006,,12.6
2007,,13.74
2008,,13.47
2009,,13.56
2010,,13.48
2011,,12.09
2012,,12.35
2013,,12.64
2014,start of forecast,12.36
2015,,12.36
2016,,12.36
2017,,12.36
2018,,12.36
2019,,12.36
2020,,12.36
2021,,12.36
2022,,12.36
2023,,12.36
2024,,12.36
2025,,12.36
2026,,12.36
2027,,12.36
2028,,12.36
2029,,12.36
2030,,12.36
2031,,12.36
2032,,12.36
2033,,12.36
2034,,12.36
2035,,12.36
2036,,12.36
2037,,12.36
2038,,12.36
2039,,12.36
2040,,12.36
