year,Base case diesel consumed,Modeled solar power
2020,57860.5290873,56845.1164323
2021,57860.5290873,56853.2397336
2022,57860.5290873,56861.2980484
2023,57860.5290873,56869.2918967
2024,57860.5290873,56877.2217942
2025,57860.5290873,56885.0882526
2026,57860.5290873,56892.8917793
2027,57860.5290873,56900.6328777
2028,57860.5290873,56908.3120474
2029,57860.5290873,56915.9297837
2030,57860.5290873,56923.4865781
2031,57860.5290873,56930.9829182
2032,57860.5290873,56938.4192876
2033,57860.5290873,56945.796166
2034,57941.4529042,57034.0378462
2035,57941.4529042,57041.2971667
2036,57941.4529042,57048.4984126
2037,57941.4529042,57055.6420485
2038,57941.4529042,57062.7285354
2039,57941.4529042,57069.7583303
