year,Base case cost,Modeled solar power
2020,216849.97316,220580.768692
2021,225317.36766,228770.982334
2022,231639.688888,234859.089748
2023,236014.509379,239038.273678
2024,239570.81507,242417.426344
2025,243917.410914,246577.799007
2026,249181.307828,251644.505233
2027,253542.015996,255827.531481
2028,257182.995631,259306.864719
2029,262079.972117,264025.601948
2030,265085.897165,266888.067693
2031,270476.804997,272100.77812
2032,275853.600505,277303.711961
2033,281315.069958,282594.003223
2034,287488.530837,288595.377117
2035,291049.810381,292022.995482
2036,296815.691548,297624.563621
2037,300376.971092,301059.029152
2038,306199.380506,306723.511076
2039,310679.24406,311069.302399
