year,Base case cost,Allakaket (unnamed stream nw) -- unnamed creek,Alatna/ allakaket (unnamed creek 2.5 mi s of) -- unnamed creek
2021,225317.36766,777887.713252,395450.866462
2022,231639.688888,770133.741258,395863.514904
2023,236014.509379,761325.186541,394903.182109
2024,239570.81507,752231.131361,393422.873411
2025,243917.410914,743950.498273,392639.199835
2026,249181.307828,736564.218834,392646.101682
2027,253542.015996,728815.242369,392061.990629
2028,257182.995631,720823.58064,391023.683796
2029,262079.972117,713940.854875,391026.012913
2030,265085.897165,705998.959385,389682.436742
2031,270476.804997,699930.334555,390230.783961
2032,275853.600505,694081.061375,390851.319076
2033,281315.069958,688513.647771,391616.947974
2034,287488.530837,683779.517105,393098.375967
2035,291049.810381,677339.791663,392581.703768
2036,296815.691548,672624.132952,393811.539634
2037,300376.971092,666596.161442,393443.859541
2038,306199.380506,662321.471503,394862.044954
2039,310679.24406,657317.741012,395332.758407
2040,317024.539756,653786.031262,397286.06097
2041,317024.539756,646076.709975,394496.462797
2042,317024.539756,638548.075904,391772.245831
2043,317024.539756,631195.894126,389111.877675
2044,317024.539756,624016.029157,386513.861916
2045,317024.539756,617004.442284,383976.737155
2046,317024.539756,610157.189474,381499.076253
2047,317024.539756,603470.419177,379079.485538
2048,317024.539756,596940.370002,376716.603961
2049,317024.539756,590563.368877,374409.102428
2050,317024.539756,584335.828721,372155.682964
2051,317024.539756,578254.246545,369955.078022
2052,317024.539756,572315.201428,367806.04975
2053,317024.539756,566515.352728,365707.389344
2054,317024.539756,560851.437943,363657.916278
2055,317024.539756,555320.271165,361656.477739
2056,317024.539756,549918.741111,359701.947916
2057,317024.539756,544643.809401,357793.22738
2058,317024.539756,539492.508951,355929.242499
2059,317024.539756,534461.942067,354108.944749
2060,317024.539756,529549.279078,352331.310222
2061,317024.539756,524751.756667,350595.339019
2062,317024.539756,520066.67615,348900.054627
2063,317024.539756,515491.402219,347244.503468
2064,317024.539756,511023.361284,345627.754293
2065,317024.539756,506660.040098,344048.897691
2066,317024.539756,502398.984151,342507.045505
2067,317024.539756,498237.796781,341001.330507
2068,317024.539756,494174.137207,339530.905692
2069,317024.539756,490205.719695,338094.943974
2070,317024.539756,486330.311955,336692.637604
