year,Base case cost,Modeled solar power
2020,716803.211519,737129.959099
2021,745912.404699,765173.406515
2022,768685.177837,787020.910248
2023,784348.760255,801896.414002
2024,797492.601071,814309.186452
2025,815340.45875,831367.155094
2026,829775.994741,845031.147223
2027,844537.262559,859076.379615
2028,858772.866601,872612.909948
2029,876471.71133,889592.311175
2030,887218.615187,899746.584602
2031,903572.599316,915377.150123
2032,920169.946304,931303.851086
2033,938504.529702,948947.758445
2034,957750.413405,967518.961934
2035,973917.944144,983097.913002
2036,998967.096026,1007502.8061
2037,1011685.61344,1019696.05315
2038,1033787.4539,1041182.50285
2039,1050276.22361,1057138.48597
