year,Utility Diesel(gallons),Water/Wastewater Heating Oil(gallons),Non-residential Heating Oil(gallons),Residential Heating Oil(gallons)
2017,228686.21,8973.51,205165.85,136889.69
2018,228910.85,8976.39,205165.85,137622.35
2019,229959.18,8990.39,205165.85,138355.02
2020,230483.35,8997.09,205165.85,139087.68
2021,230932.63,9003.59,205165.85,139087.68
2022,231531.68,9010.66,205165.85,139820.34
2023,232055.85,9017.61,205165.85,140553.0
2024,232505.13,9024.3,205165.85,141285.67
2025,232954.42,9029.74,205165.85,141285.67
2026,232430.25,9022.81,205165.85,140553.0
2027,232654.89,9025.5,205165.85,141285.67
2028,232729.77,9026.79,205165.85,141285.67
2029,233104.18,9032.23,205165.85,141285.67
2030,233478.58,9037.04,205165.85,142018.33
2031,232879.54,9028.87,205165.85,141285.67
2032,232954.42,9029.94,205165.85,141285.67
2033,232879.54,9028.77,205165.85,141285.67
2034,233029.3,9030.43,205165.85,141285.67
2035,233553.46,9037.4,205165.85,142018.33
2036,235051.08,9057.21,205165.85,143483.65
2037,235275.72,9060.43,205165.85,143483.65
2038,236024.53,9070.08,205165.85,144216.31
2039,236548.7,9077.56,205165.85,144948.98
2040,237372.39,9088.17,205165.85,145681.64
