year,annotation,Average Load
2003,,262.0
2004,,294.0
2005,,293.0
2006,,281.0
2007,,281.0
2008,,287.0
2009,,290.0
2010,,323.0
2011,,335.0
2012,,334.0
2013,,332.0
2014,start of forecast,329.0
2015,,330.0
2016,,331.0
2017,,332.0
2018,,333.0
2019,,334.0
2020,,335.0
2021,,336.0
2022,,336.0
2023,,337.0
2024,,338.0
2025,,339.0
2026,,338.0
2027,,338.0
2028,,338.0
2029,,339.0
2030,,339.0
2031,,339.0
2032,,339.0
2033,,338.0
2034,,339.0
2035,,339.0
2036,,342.0
2037,,342.0
2038,,343.0
2039,,344.0
2040,,345.0
