year,Base case diesel consumed,Modeled solar power
2020,230483.347755,226510.233183
2021,230932.633034,226991.303378
2022,231531.680071,227621.881053
2023,232055.846229,228177.325603
2024,232505.131508,228657.639046
2025,232954.416786,229137.704264
2026,232430.250628,228644.071806
2027,232654.893267,228899.003876
2028,232729.774147,229003.931871
2029,233104.178545,229408.143008
2030,233478.582944,229812.115691
2031,232879.535906,229242.400391
2032,232954.416786,229346.378355
2033,232879.535906,229300.361783
2034,233029.297666,229478.756935
2035,233553.463824,230031.327419
2036,235051.081418,231557.122104
2037,235275.724057,231809.716418
2038,236024.532854,232586.253276
2039,236548.699012,233137.925671
