year,annotation,Diesel Price ($/gal),Heating Fuel ($/gal)
2000,,,2.4
2001,,,2.3
2004,,1.58,3.47
2005,,2.02,3.92
2008,,3.07,5.19
2009,,3.92,3.95
2010,,3.2,4.66
2011,,3.72,5.54
2012,,4.44,5.94
2013,,4.01,5.82
2014,,,6.3
2016,,1.92,3.2
2017,,2.29,3.57
2018,,2.56,3.84
2019,,2.93,4.21
2020,,3.11,4.39
2021,,3.23,4.51
2022,,3.32,4.6
2023,,3.38,4.66
2024,,3.43,4.71
2025,,3.5,4.78
2026,,3.57,4.85
2027,,3.63,4.91
2028,,3.69,4.97
2029,,3.76,5.04
2030,,3.8,5.08
2031,,3.88,5.16
2032,,3.95,5.23
2033,,4.03,5.31
2034,,4.11,5.39
2035,,4.17,5.45
2036,,4.25,5.53
2037,,4.3,5.58
2038,,4.38,5.66
2039,,4.44,5.72
2040,,4.54,5.82
