year,Base case diesel consumed,Modeled water and wastewater efficiency
2017,8973.50612721,5832.77898269
2018,8976.3896723,5834.653287
2019,8990.38875335,5843.75268968
2020,8997.09408212,5848.11115338
2021,9003.58914396,5852.33294357
2022,9010.6612927,5856.92984026
2023,9017.61143804,5861.44743473
2024,9024.3024611,5865.79659972
2025,9029.73593136,5869.32835539
2026,9022.80791938,5864.8251476
2027,9025.49982196,5866.57488428
2028,9026.78895529,5867.41282094
2029,9032.23106296,5870.95019092
2030,9037.04398935,5874.07859308
2031,9028.87138068,5868.76639744
