year,annotation,generation_biomass [kWh/year],generation_solar [kWh/year],generation_wind [kWh/year],generation_natural_gas [kWh/year],generation_hydro [kWh/year],generation_diesel [kWh/year]
2003,,0,0,0,0,0,2493478
2004,,0,0,0,0,0,2758309
2005,,0,0,0,0,0,2703786
2006,,0,0,0,0,0,2591172
2007,,0,0,0,0,0,2608430
2008,,0,0,0,0,0,2635299
2009,,0,0,0,0,0,2671013
2010,,0,0,0,0,0,2942551
2011,,0,0,0,0,0,3079379
2012,,0,0,0,0,0,3070923
2013,,0,0,0,0,0,3045999
2014,start of forecast,0,0,0,0,0,3025000
2015,,0,0,0,0,0,3031000
2016,,0,0,0,0,0,3037000
2017,,0,0,0,0,0,3054000
2018,,0,0,0,0,0,3057000
2019,,0,0,0,0,0,3071000
2020,,0,0,0,0,0,3078000
2021,,0,0,0,0,0,3084000
2022,,0,0,0,0,0,3092000
2023,,0,0,0,0,0,3099000
2024,,0,0,0,0,0,3105000
2025,,0,0,0,0,0,3111000
2026,,0,0,0,0,0,3104000
2027,,0,0,0,0,0,3107000
2028,,0,0,0,0,0,3108000
2029,,0,0,0,0,0,3113000
2030,,0,0,0,0,0,3118000
2031,,0,0,0,0,0,3110000
2032,,0,0,0,0,0,3111000
2033,,0,0,0,0,0,3110000
2034,,0,0,0,0,0,3112000
2035,,0,0,0,0,0,3119000
2036,,0,0,0,0,0,3139000
2037,,0,0,0,0,0,3142000
2038,,0,0,0,0,0,3152000
2039,,0,0,0,0,0,3159000
2040,,0,0,0,0,0,3170000
