year,Base case diesel consumed,Modeled wind power
2019,229959.181597,162976.419125
2020,230483.347755,163500.585283
2021,230932.633034,163949.870561
2022,231531.680071,164548.917599
2023,232055.846229,165073.083757
2024,232505.131508,165522.369035
2025,232954.416786,165971.654314
2026,232430.250628,165447.488156
2027,232654.893267,165672.130795
2028,232729.774147,165747.011674
2029,233104.178545,166121.416073
2030,233478.582944,166495.820472
2031,232879.535906,165896.773434
2032,232954.416786,165971.654314
2033,232879.535906,165896.773434
2034,233029.297666,166046.535193
2035,233553.463824,166570.701351
2036,235051.081418,168068.318945
2037,235275.724057,168292.961585
2038,236024.532854,169041.770382
