year,Base case diesel consumed,Togiak waste heat recovery project
2019,352511.0,338811.0
2020,353251.0,339551.0
2021,353258.0,339558.0
2022,353997.0,340297.0
2023,354737.0,341037.0
2024,355476.0,341776.0
2025,355482.0,341782.0
2026,354742.0,341042.0
2027,355477.0,341777.0
2028,355479.0,341779.0
2029,355484.0,341784.0
2030,356221.0,342521.0
2031,355481.0,341781.0
2032,355482.0,341782.0
2033,355481.0,341781.0
2034,355482.0,341782.0
2035,356221.0,342521.0
2036,357707.0,344007.0
2037,357710.0,344010.0
2038,358452.0,344752.0
