year,Base case cost,Togiak waste heat recovery project
2019,1482468.48457,1459835.29432
2020,1549165.69988,1523234.91156
2021,1591587.35805,1563200.46225
2022,1626776.61791,1596363.64838
2023,1651461.47322,1619452.01764
2024,1672675.65307,1639224.86346
2025,1697587.62579,1662439.22872
2026,1718885.73048,1682057.03707
2027,1743775.75852,1705420.67415
2028,1765114.30943,1725249.34326
2029,1790023.0167,1748527.29096
2030,1807982.98565,1765283.24471
2031,1832665.63034,1788229.24955
2032,1857554.52579,1811533.52015
2033,1885987.78034,1838259.81293
2034,1914431.64579,1865011.03603
2035,1939784.75565,1888959.48734
2036,1976493.25898,1924002.98819
2037,1994395.33534,1940664.39806
2038,2027208.48156,1971838.90121
