year,Base case cost,Modeled non-residential energy efficiency
2017,1522354.22311,1518529.56958
2018,1611195.31551,1593945.04894
2019,1732940.51621,1699154.72982
2020,1792167.91115,1748074.29286
2021,1831652.8411,1779289.55877
2022,1861266.53857,1801703.05552
2023,1881009.00355,1815312.3635
2024,1897461.0577,1826051.79022
2025,1920493.9335,1842824.03387
2026,1943526.80931,1859690.17056
2027,1963269.27429,1873679.66443
2028,1983011.73927,1887758.7017
2029,2006044.61508,1904893.51886
2030,2019206.2584,1913208.72563
2031,2045529.54503,1933480.66701
