year,Base case cost,Togiak (quigmy river),Togiak (kurtluk river)
2021,745912.404699,2149356.95447,1350116.37365
2022,768685.177837,2125456.83741,1345843.90709
2023,784348.760255,2099037.59196,1337847.73514
2024,797492.601071,2072162.17123,1328734.18279
2025,815340.45875,2048274.76625,1322757.54596
2026,829775.994741,2021747.55302,1313765.11451
2027,844537.262559,1997554.00645,1306472.22075
2028,858772.866601,1973571.5225,1299031.82098
2029,876471.71133,1952518.21064,1294437.38378
2030,887218.615187,1928976.13747,1286211.36277
2031,903572.599316,1906713.16411,1279998.31843
2032,920169.946304,1886617.12961,1275359.14188
2033,938504.529702,1867659.1484,1271806.50068
2034,957750.413405,1850251.47562,1269493.15928
2035,973917.944144,1832896.53606,1266394.92196
2036,998967.096026,1822525.56822,1270517.96531
2037,1011685.61344,1804179.67116,1265575.56527
2038,1033787.4539,1792037.68902,1267355.08429
2039,1050276.22361,1777357.24441,1265785.9998
2040,1077670.64465,1769122.59225,1271460.77054
2041,1087529.46127,1756428.87161,1269743.48894
2042,1092628.84918,1739504.29735,1263538.09341
2043,1095348.52273,1720716.19514,1255217.93929
2044,1098068.19628,1702432.18157,1247156.53121
2045,1105547.29855,1689399.87066,1244107.23345
2046,1111666.56404,1675488.45921,1239944.85829
2047,1120505.50308,1664766.19038,1238743.13267
2048,1128324.56454,1653482.50961,1236756.85747
2049,1138523.34035,1645026.26378,1237380.10923
2050,1149741.99375,1638027.12262,1239247.66492
2051,1149741.99375,1620236.30764,1230115.73358
2052,1149741.99375,1602862.46482,1221197.83185
2053,1149741.99375,1585895.82158,1212488.94351
2054,1149741.99375,1569326.83392,1203984.16968
2055,1149741.99375,1553146.18193,1195678.72649
2056,1149741.99375,1537344.76397,1187567.94213
2057,1149741.99375,1521913.6917,1179647.25426
2058,1149741.99375,1506844.28533,1171912.20758
2059,1149741.99375,1492128.06806,1164358.451
2060,1149741.99375,1477756.76208,1156981.73556
2061,1149741.99375,1463722.2837,1149777.91196
2062,1149741.99375,1450016.73829,1142742.92791
2063,1149741.99375,1436632.41664,1135872.82631
2064,1149741.99375,1423561.79007,1129163.74275
2065,1149741.99375,1410797.50642,1122611.90338
2066,1149741.99375,1398332.38538,1116213.62261
2067,1149741.99375,1386159.41584,1109965.30165
2068,1149741.99375,1374271.75018,1103863.42567
2069,1149741.99375,1362662.7018,1097904.56247
2070,1149741.99375,1351325.74045,1092085.3601
