year,Base case cost,Modeled water and wastewater efficiency
2017,78044.1107624,90031.788297
2018,82441.4549401,92273.1675107
2019,88572.8784174,95739.5434432
2020,91561.4979107,97040.6760099
2021,93577.7910292,97684.6172285
2022,95115.5339044,98014.0062008
2023,96166.257579,98022.448688
2024,97052.8708678,97933.8003933
2025,98252.6143757,98079.0035596
2026,99315.2532104,98143.4365306
2027,100322.313093,98186.3454381
2028,101313.939566,98233.7402948
2029,102516.686019,98443.3762766
2030,103224.394163,98323.7731997
2031,104432.417205,98564.2343483
