year,Base case diesel consumed,Modeled diesel efficiency
2019,229959.181597,209053.801452
2020,230483.347755,209530.316141
2021,230932.633034,209938.757303
2022,231531.680071,210483.345519
2023,232055.846229,210959.860208
2024,232505.131508,211368.301371
2025,232954.416786,211776.742533
2026,232430.250628,211300.227844
2027,232654.893267,211504.448425
2028,232729.774147,211572.521952
2029,233104.178545,211912.889587
2030,233478.582944,212253.257222
2031,232879.535906,211708.669006
2032,232954.416786,211776.742533
2033,232879.535906,211708.669006
2034,233029.297666,211844.81606
2035,233553.463824,212321.330749
2036,235051.081418,213682.801289
2037,235275.724057,213887.02187
2038,236024.532854,214567.75714
