year,Base case diesel consumed,Togiak (quigmy river),Togiak (kurtluk river)
2021,230932.633034,91727.4557742,121373.002793
2022,231531.680071,92326.5028119,121972.049831
2023,232055.846229,92850.6689699,122496.215989
2024,232505.131508,93299.9542482,122945.501267
2025,232954.416786,93749.2395265,123394.786546
2026,232430.250628,93225.0733685,122870.620388
2027,232654.893267,93449.7160076,123095.263027
2028,232729.774147,93524.5968873,123170.143906
2029,233104.178545,93899.0012859,123544.548305
2030,233478.582944,94273.4056845,123918.952704
2031,232879.535906,93674.3586468,123319.905666
2032,232954.416786,93749.2395265,123394.786546
2033,232879.535906,93674.3586468,123319.905666
2034,233029.297666,93824.1204062,123469.667425
2035,233553.463824,94348.2865642,123993.833583
2036,235051.081418,95845.9041584,125491.451177
2037,235275.724057,96070.5467976,125716.093817
2038,236024.532854,96819.3555947,126464.902614
2039,236548.699012,97343.5217527,126989.068772
2040,237372.388689,98167.2114295,127812.758449
2041,239543.934201,100338.756941,129984.30396
2042,240667.147396,101461.970137,131107.517156
2043,241266.194434,102061.017175,131706.564194
2044,241865.241472,102660.064212,132305.611231
2045,243512.620825,104307.443566,133952.990585
2046,244860.47666,105655.299401,135300.84642
2047,246807.379533,107602.202273,137247.749292
2048,248529.639766,109324.462507,138970.009526
2049,250776.066157,111570.888898,141216.435917
2050,253247.135188,114041.957929,143687.504948
2051,253247.135188,114041.957929,143687.504948
2052,253247.135188,114041.957929,143687.504948
2053,253247.135188,114041.957929,143687.504948
2054,253247.135188,114041.957929,143687.504948
2055,253247.135188,114041.957929,143687.504948
2056,253247.135188,114041.957929,143687.504948
2057,253247.135188,114041.957929,143687.504948
2058,253247.135188,114041.957929,143687.504948
2059,253247.135188,114041.957929,143687.504948
2060,253247.135188,114041.957929,143687.504948
2061,253247.135188,114041.957929,143687.504948
2062,253247.135188,114041.957929,143687.504948
2063,253247.135188,114041.957929,143687.504948
2064,253247.135188,114041.957929,143687.504948
2065,253247.135188,114041.957929,143687.504948
2066,253247.135188,114041.957929,143687.504948
2067,253247.135188,114041.957929,143687.504948
2068,253247.135188,114041.957929,143687.504948
2069,253247.135188,114041.957929,143687.504948
2070,253247.135188,114041.957929,143687.504948
