year,Base case cost,Modeled biomass for heat (cordwood)
2017,244699.980443,263357.707779
2018,262304.970443,275641.646098
2019,286229.700443,292615.689933
2020,297063.540443,299926.912123
2021,304737.510443,304918.071153
2022,310605.840443,308590.121679
2023,314668.530443,310942.688468
2024,317828.400443,312642.964348
2025,321439.680443,314691.930366
2026,326405.190443,317756.796323
2027,330016.470443,319834.543148
2028,333627.750443,321926.176464
2029,337690.440443,324365.150436
2030,340398.900443,325816.028699
2031,345364.410443,328948.737929
2032,,
2033,,
2034,,
2035,,
2036,,
