year,Base case cost,Modeled diesel efficiency
2019,191020.799849,347784.326858
2020,200120.906661,351976.001523
2021,206884.436309,354139.167076
2022,212056.547217,354948.998422
2023,215637.239384,354403.306272
2024,218422.222181,353223.324772
2025,221605.059662,352492.024294
2026,225981.4612,352930.738047
2027,228625.088567,351877.167387
2028,231800.437019,351387.999865
2029,235372.704028,351338.788851
2030,237754.215367,350284.339717
2031,242120.319489,351109.521897
2032,246089.505054,351647.556628
2033,250455.609176,352618.386913
2034,254821.713298,353659.491175
2035,257600.143194,353325.882121
2036,261966.247316,354502.631732
2037,264744.677212,354301.488866
2038,268476.086095,355030.604324
