year,Base case cost,Modeled biomass for heat (pellet)
2017,161460.856537,176323.034846
2018,176555.993493,188670.000246
2019,197238.725328,205688.94528
2020,202638.972582,209090.405754
2021,209142.821857,214246.45986
2022,209043.113991,212988.96283
2023,212184.623266,215346.895992
2024,209643.002839,212027.103122
2025,212693.399553,214304.604415
2026,210906.751687,211565.874622
2027,214372.688401,214176.931891
2028,211278.107974,210324.556553
2029,208484.094987,206685.378152
2030,210795.049141,208340.193677
2031,208191.546153,204808.619376
2032,211819.035428,207512.507147
2033,209339.812682,204021.878025
2034,213302.194518,206977.116227
2035,215920.083793,208868.534475
2036,212968.228487,204917.76364
