year,Base case diesel consumed,Modeled residential energy efficiency
2017,23395.3126959,16378.1962544
2018,23395.3126959,16378.1962544
2019,23395.3126959,16378.1962544
2020,21994.8837478,14977.7673062
2021,21994.8837478,14977.7673062
2022,20594.4547996,13577.3383581
2023,20594.4547996,13577.3383581
2024,19194.0258515,12176.9094099
2025,19194.0258515,12176.9094099
2026,17793.5969033,10776.4804618
2027,17793.5969033,10776.4804618
2028,16393.1679552,9376.05151362
2029,14992.739007,7975.62256548
2030,14992.739007,7975.62256548
2031,13592.3100589,6575.19361733
2032,13592.3100589,6575.19361733
2033,12191.8811108,5174.76466919
2034,12191.8811108,5174.76466919
2035,12191.8811108,5174.76466919
2036,10791.4521626,3774.33572104
