year,Utility Diesel(gallons),Water/Wastewater Heating Oil(gallons),Non-residential Heating Oil(gallons),Residential Heating Oil(gallons)
2017,2638517.69,463.32,32154.86,23395.31
2018,2676992.75,453.5,32154.86,23395.31
2019,2639900.55,442.99,32154.86,23395.31
2020,2648374.24,431.9,32154.86,21994.88
2021,2651442.39,419.86,32154.86,21994.88
2022,2642829.0,408.04,32154.86,20594.45
2023,2643636.1,395.59,32154.86,20594.45
2024,2641815.21,381.9,32154.86,19194.03
2025,2638606.15,369.05,32154.86,19194.03
2026,2637246.83,356.13,32154.86,17793.6
2027,2635020.48,342.81,32154.86,17793.6
2028,2632803.87,329.95,32154.86,16393.17
2029,2630555.81,315.0,32154.86,14992.74
2030,2628349.62,301.13,32154.86,14992.74
2031,2626150.15,287.48,32154.86,13592.31
2032,2624222.06,275.27,32154.86,13592.31
2033,2622328.16,263.78,32154.86,12191.88
2034,2620586.67,252.5,32154.86,12191.88
2035,2618780.48,241.12,32154.86,12191.88
2036,2616966.62,229.98,32154.86,10791.45
2037,2615227.74,218.98,32154.86,10791.45
2038,2613489.73,208.14,32154.86,9391.02
2039,2611967.66,198.45,32154.86,9391.02
2040,2610518.7,189.46,32154.86,9391.02
