year,Base case diesel consumed,Modeled water and wastewater efficiency
2017,463.322187038,301.159421575
2018,453.503449052,294.777241884
2019,442.986848538,287.94145155
2020,431.899319437,280.734557634
2021,419.863761019,272.911444663
2022,408.044374122,265.228843179
2023,395.591551211,257.134508287
2024,381.89515948,248.231853662
2025,369.048786515,239.881711235
2026,356.128391597,231.483454538
2027,342.808826441,222.825737187
2028,329.95395466,214.470070529
2029,315.002753738,204.751789929
2030,301.125556531,195.731611745
2031,287.476867837,186.859964094
