year,Base case diesel consumed,Modeled biomass for heat (pellet)
2017,56013.0,46796.0076469
2018,56004.0,46787.0076469
2019,55993.0,46776.0076469
2020,54582.0,45365.0076469
2021,54570.0,45353.0076469
2022,53157.0,43940.0076469
2023,53145.0,43928.0076469
2024,51731.0,42514.0076469
2025,51718.0,42501.0076469
2026,50305.0,41088.0076469
2027,50292.0,41075.0076469
2028,48878.0,39661.0076469
2029,47463.0,38246.0076469
2030,47449.0,38232.0076469
2031,46034.0,36817.0076469
2032,46022.0,36805.0076469
2033,44611.0,35394.0076469
2034,44600.0,35383.0076469
2035,44588.0,35371.0076469
2036,43176.0,33959.0076469
