year,Base case cost,Modeled residential energy efficiency
2017,114018.187296,104762.652842
2018,120603.867991,109063.074384
2019,129628.689685,115110.080852
2020,126348.458444,110124.056332
2021,129100.73552,111670.469713
2022,123159.431721,104672.171339
2023,124448.224198,105192.980842
2024,117327.456524,97312.3619728
2025,118528.902939,97761.8983878
2026,111517.463867,89865.9620572
2027,112817.247613,90358.9930191
2028,105128.730542,81941.2901413
2029,97422.0893863,73442.5144855
2030,98204.9295795,73580.6157051
2031,90363.7029257,64891.0244691
2032,91499.7858199,65185.4692325
2033,83436.6276063,56217.070525
2034,84583.7017706,56465.3190399
2035,85348.4178801,56547.9874881
2036,76804.8563299,47117.9824554
