year,Base case diesel consumed,Modeled non-residential ashp
2017,60369.3308404,49348.8949264
2018,60369.3308404,49348.8949264
2019,60369.3308404,49348.8949264
2020,60369.3308404,49348.8949264
2021,58399.3001382,47378.8642241
2022,58399.3001382,47378.8642241
2023,58399.3001382,47378.8642241
2024,56429.269436,45408.8335219
2025,56429.269436,45408.8335219
2026,56429.269436,45408.8335219
2027,54459.2387338,43438.8028197
2028,54459.2387338,43438.8028197
2029,54459.2387338,43438.8028197
2030,54459.2387338,43438.8028197
2031,52489.2080315,41468.7721175
