year,Base case cost,Modeled diesel efficiency
2019,84477.0825949,249641.343602
2020,89856.5870585,254531.802205
2021,93576.1471726,257913.220491
2022,96297.5001691,260387.17776
2023,97471.3279042,261454.293883
2024,98867.6060741,262723.637674
2025,99988.6218355,263742.742911
2026,102274.28245,265820.616197
2027,103603.345381,267028.855225
2028,104913.203957,268219.635749
2029,106815.984163,269949.435937
2030,107757.772089,270805.606779
2031,109925.806035,272776.546729
2032,111762.971365,274446.697029
2033,114178.261369,276642.415215
2034,116268.677717,278542.793713
2035,117436.104001,279604.090335
2036,119796.181488,281749.615322
2037,120629.53843,282507.212542
2038,122917.193096,284586.898603
