year,Base case diesel consumed,Modeled non-residential energy efficiency
2017,43421.8068601,32132.1370765
2018,43421.8068601,32132.1370765
2019,43421.8068601,32132.1370765
2020,43421.8068601,32132.1370765
2021,43421.8068601,32132.1370765
2022,43421.8068601,32132.1370765
2023,43421.8068601,32132.1370765
2024,43421.8068601,32132.1370765
2025,43421.8068601,32132.1370765
2026,43421.8068601,32132.1370765
2027,43421.8068601,32132.1370765
2028,43421.8068601,32132.1370765
2029,43421.8068601,32132.1370765
2030,43421.8068601,32132.1370765
2031,43421.8068601,32132.1370765
