year,Base case diesel consumed,Modeled non-residential ashp
2017,5314.18682429,3719.930777
2018,5314.18682429,3719.930777
2019,5314.18682429,3719.930777
2020,5314.18682429,3719.930777
2021,5314.18682429,3719.930777
2022,5314.18682429,3719.930777
2023,5314.18682429,3719.930777
2024,5314.18682429,3719.930777
2025,5314.18682429,3719.930777
2026,5314.18682429,3719.930777
2027,5314.18682429,3719.930777
2028,5314.18682429,3719.930777
2029,5314.18682429,3719.930777
2030,5314.18682429,3719.930777
2031,5314.18682429,3719.930777
