year,Base case cost,Modeled biomass for heat (pellet)
2017,14301.6915805,16937.1542974
2018,15949.0315805,18071.4820121
2019,18340.3315805,19737.4668345
2020,19456.2715805,20494.6123328
2021,20253.3715805,21025.2264224
2022,20837.9115805,21405.1021537
2023,21209.8915805,21634.218656
2024,21581.8715805,21864.1843922
2025,21953.8515805,22094.9794582
2026,22485.2515805,22440.3060498
2027,22910.3715805,22710.60913
2028,23229.2115805,22905.8701618
2029,23707.4715805,23215.6070977
2030,23973.1715805,23374.4517823
2031,24504.5715805,23723.5518513
2032,,
2033,,
2034,,
2035,,
2036,,
