year,Base case cost,Modeled biomass for heat (cordwood)
2017,14301.6915805,14217.6367494
2018,15949.0315805,15435.6890624
2019,18340.3315805,17203.8295166
2020,19456.2715805,18028.9617286
2021,20253.3715805,18618.34188
2022,20837.9115805,19050.5539911
2023,21209.8915805,19325.5980617
2024,21581.8715805,19600.6421324
2025,21953.8515805,19875.686203
2026,22485.2515805,20268.606304
2027,22910.3715805,20582.9423847
2028,23229.2115805,20818.6944453
2029,23707.4715805,21172.3225362
2030,23973.1715805,21368.7825866
2031,24504.5715805,21761.7026876
2032,,
2033,,
2034,,
2035,,
2036,,
