year,Base case cost,Modeled non-residential energy efficiency
2017,183823.047726,317136.154189
2018,200545.719538,332262.956954
2019,223307.133947,352852.216272
2020,233526.544498,362096.373518
2021,240494.32442,368399.208003
2022,245604.029695,373021.286625
2023,249320.178987,376382.798351
2024,252107.290955,378903.932145
2025,255823.440247,382265.443871
2026,260004.108199,386047.144562
2027,263255.738829,388988.467322
2028,266507.369459,391929.790081
2029,270223.518751,395291.301807
2030,272546.112058,397392.246635
2031,277191.298672,401594.136292
