year,Base case diesel consumed,Modeled diesel efficiency
2019,40942.6486571,37220.5896883
2020,41042.5087758,37311.3716144
2021,41142.3688945,37402.1535404
2022,41142.3688945,37402.1535404
2023,41142.3688945,37402.1535404
2024,41142.3688945,37402.1535404
2025,41242.2290132,37492.9354665
2026,41342.0891318,37583.7173926
2027,41441.9492505,37674.4993186
2028,41541.8093692,37765.2812447
2029,41641.6694879,37856.0631708
2030,41741.5296065,37946.8450969
2031,41841.3897252,38037.6270229
2032,41941.2498439,38128.408949
2033,42140.9700812,38309.9728011
2034,42240.8301999,38400.7547272
2035,42340.6903186,38491.5366533
2036,42340.6903186,38491.5366533
2037,42440.5504373,38582.3185793
2038,42540.4105559,38673.1005054
