year,Base case diesel consumed,Modeled non-residential energy efficiency
2017,29401.9831686,21757.4675448
2018,29401.9831686,21757.4675448
2019,29401.9831686,21757.4675448
2020,29401.9831686,21757.4675448
2021,29401.9831686,21757.4675448
2022,29401.9831686,21757.4675448
2023,29401.9831686,21757.4675448
2024,29401.9831686,21757.4675448
2025,29401.9831686,21757.4675448
2026,29401.9831686,21757.4675448
2027,29401.9831686,21757.4675448
2028,29401.9831686,21757.4675448
2029,29401.9831686,21757.4675448
2030,29401.9831686,21757.4675448
2031,29401.9831686,21757.4675448
