year,Base case cost,Modeled diesel efficiency
2019,212683.485013,368847.818451
2020,225460.902844,376350.390459
2021,234153.371388,380235.776722
2022,240672.722795,382239.747063
2023,245018.957067,382360.095136
2024,248821.912055,382076.336509
2025,253711.425611,382868.037882
2026,259144.21845,384239.254131
2027,263490.452722,384706.307468
2028,267647.339331,385082.884242
2029,272543.327246,386211.115544
2030,275807.319189,385933.588965
2031,281247.305761,387710.289287
2032,287231.290989,390055.801213
2033,293058.300351,392331.134451
2034,299050.198685,394827.193782
2035,302863.224898,395411.627042
2036,308855.123232,398044.399016
2037,312668.149445,398762.340763
2038,318660.047779,401525.492129
