year,Base case cost,"Kaltag (kaltag river s tributary) -- kaltag river, south tributary","Kaltag (north tributary kaltag river) -- kaltag river, north tributary"
2021,234153.371388,925017.724447,986598.826055
2022,240672.722795,914366.586807,975402.256326
2023,245018.957067,902629.058496,963015.395693
2024,248821.912055,890874.722562,950601.452166
2025,253711.425611,880173.357097,939323.840816
2026,259144.21845,870157.856369,928783.595789
2027,263490.452722,859742.761428,917800.654922
2028,267647.339331,849633.796039,907111.658503
2029,272543.327246,840200.076596,897179.404716
2030,275807.319189,829983.432318,886388.397568
2031,281247.305761,821496.813432,877470.798563
2032,287231.290989,813653.458858,869245.296152
2033,293058.300351,806113.777268,861309.135549
2034,299050.198685,798825.127843,853672.030809
2035,302863.224898,790357.473829,844746.669125
2036,308855.123232,783590.28566,837663.157314
2037,312668.149445,775631.871326,829278.41391
2038,318660.047779,769361.987573,822722.84968
2039,323017.792022,762249.928699,815245.763869
2040,329554.408387,756815.018627,809585.774125
2041,329554.408387,747280.457749,799463.707652
2042,329554.408387,737969.362919,789578.876874
2043,329554.408387,728876.497367,779925.722342
2044,329554.408387,719996.745772,770498.813534
2045,329554.408387,711325.113516,761292.848072
2046,329554.408387,702856.722272,752302.647035
2047,329554.408387,694586.809271,743523.154177
2048,329554.408387,686510.722142,734949.430457
2049,329554.408387,678623.918185,726576.653258
2050,329554.408387,670921.96142,718400.113262
