year,Base case cost,Modeled wind power
2019,212683.485013,
2020,225460.902844,
2021,234153.371388,
2022,240672.722795,
2023,245018.957067,
2024,248821.912055,
2025,253711.425611,
2026,259144.21845,
2027,263490.452722,
2028,267647.339331,
2029,272543.327246,
2030,275807.319189,
2031,281247.305761,
2032,287231.290989,
2033,293058.300351,
2034,299050.198685,
2035,302863.224898,
2036,308855.123232,
2037,312668.149445,
2038,318660.047779,
