year,Water/Wastewater Heating Fuel,Non-residential Heating Fuel,Residential Heating Fuel,Water/Wastewater Electricity,Non-residential Electricity,Residential Electricity
2017,42043.7,290697.29,125258.3,66155.05,264853.59,234602.58
2018,45327.95,313394.26,131714.47,69276.1,277331.42,245655.21
2019,49889.83,344917.83,140681.37,73611.65,294661.73,261006.09
2020,51990.12,359418.67,144806.15,75610.66,302633.67,268067.5
2021,53452.39,369506.22,152136.53,77004.26,308179.37,276771.16
2022,54549.11,377071.87,154353.59,78049.42,312338.65,280506.55
2023,55280.58,382115.65,155831.64,78746.97,315111.5,282996.8
2024,55920.95,386528.95,157124.93,79358.15,317537.74,285175.77
2025,56744.9,392203.19,158787.72,80145.47,320657.2,287977.31
2026,57659.96,398507.9,160635.28,81019.07,324123.26,291090.12
2027,58396.14,403551.68,162113.32,81728.32,326896.11,293580.38
2028,59041.72,407964.98,168198.05,82352.4,329322.35,299810.85
2029,59867.52,413639.22,169909.6,83144.02,332441.81,302650.76
2030,60420.63,417422.05,171050.64,83678.12,334521.45,304544.04
2031,61338.48,423726.76,172952.37,84558.21,337987.51,307699.5
