year,Base case diesel consumed,Modeled residential energy efficiency
2017,17933.8016665,15347.7262264
2018,17933.8016665,15347.7262264
2019,17933.8016665,15347.7262264
2020,17933.8016665,15347.7262264
2021,18475.5445315,15889.4690914
2022,18475.5445315,15889.4690914
2023,18475.5445315,15889.4690914
2024,18475.5445315,15889.4690914
2025,18475.5445315,15889.4690914
2026,18475.5445315,15889.4690914
2027,18475.5445315,15889.4690914
2028,19017.2873965,16431.2119564
2029,19017.2873965,16431.2119564
2030,19017.2873965,16431.2119564
2031,19017.2873965,16431.2119564
