year,Utility Diesel(gallons),Water/Wastewater Heating Oil(gallons),Non-residential Heating Oil(gallons),Residential Heating Oil(gallons)
2017,,0.0,,6627.99
2018,,0.0,,6627.99
2019,,0.0,,5605.44
2020,,0.0,,5605.44
2021,,0.0,,5605.44
2022,,0.0,,5605.44
2023,,0.0,,5605.44
2024,,0.0,,5605.44
2025,,0.0,,5605.44
2026,,0.0,,5605.44
2027,,0.0,,5605.44
2028,,0.0,,4582.9
2029,,0.0,,4582.9
2030,,0.0,,4582.9
2031,,0.0,,4582.9
2032,,0.0,,4582.9
2033,,0.0,,4582.9
2034,,0.0,,4582.9
2035,,0.0,,3560.35
2036,,0.0,,3560.35
2037,,0.0,,3560.35
2038,,0.0,,3560.35
2039,,0.0,,3560.35
2040,,0.0,,3560.35
