year,annotation,Diesel Price ($/gal),Heating Fuel ($/gal)
2002,,0.96,
2003,,1.18,
2004,,1.47,
2005,,2.02,
2006,,2.32,
2007,,2.39,
2008,,3.39,
2009,,2.25,
2010,,2.78,
2011,,3.91,
2012,,4.01,
2013,,4.0,
2016,,2.33,3.88
2017,,2.77,4.32
2018,,3.09,4.64
2019,,3.54,5.09
2020,,3.75,5.3
2021,,3.89,5.44
2022,,4.0,5.55
2023,,4.08,5.63
2024,,4.14,5.69
2025,,4.22,5.77
2026,,4.31,5.86
2027,,4.38,5.93
2028,,4.44,6.0
2029,,4.53,6.08
2030,,4.58,6.13
2031,,4.67,6.23
2032,,4.77,6.32
2033,,4.86,6.41
2034,,4.96,6.51
2035,,5.02,6.57
2036,,5.12,6.67
2037,,5.18,6.73
2038,,5.28,6.84
2039,,5.36,6.91
2040,,5.47,7.02
