year,Base case cost,Modeled biomass for heat (pellet)
2017,60038.3390637,60038.3390637
2018,64518.9517466,64518.9517466
2019,70717.923454,70717.923454
2020,73629.3049174,73629.3049174
2021,75662.8658929,75662.8658929
2022,77181.2580881,77181.2580881
2023,78231.9312588,78231.9312588
2024,79086.0268686,79086.0268686
2025,80129.9215028,80129.9215028
2026,81394.1185758,81394.1185758
2027,82441.4024783,82441.4024783
2028,83315.8336978,83315.8336978
2029,91016.0764052,91016.0764052
2030,91793.7342101,91793.7342101
2031,93188.406893,93188.406893
2032,94579.4286004,94579.4286004
2033,95992.3561613,95992.3561613
2034,97485.6051857,97485.6051857
2035,98405.6510394,98405.6510394
2036,107055.887893,107055.887893
