year,Base case diesel consumed,Modeled biomass for heat (cordwood)
2017,35720.0,29386.3086702
2018,35720.0,29386.3086702
2019,35720.0,29386.3086702
2020,34743.0,28409.3086702
2021,34743.0,28409.3086702
2022,34743.0,28409.3086702
2023,34743.0,28409.3086702
2024,34743.0,28409.3086702
2025,33765.0,27431.3086702
2026,33765.0,27431.3086702
2027,33765.0,27431.3086702
2028,33765.0,27431.3086702
2029,33765.0,27431.3086702
2030,32788.0,26454.3086702
2031,32788.0,26454.3086702
2032,32788.0,26454.3086702
2033,32788.0,26454.3086702
2034,32788.0,26454.3086702
2035,32788.0,26454.3086702
2036,32788.0,26454.3086702
