year,Base case diesel consumed,Modeled biomass for heat (pellet)
2017,35720.0,28752.9395372
2018,35720.0,28752.9395372
2019,35720.0,28752.9395372
2020,34743.0,27775.9395372
2021,34743.0,27775.9395372
2022,34743.0,27775.9395372
2023,34743.0,27775.9395372
2024,34743.0,27775.9395372
2025,33765.0,26797.9395372
2026,33765.0,26797.9395372
2027,33765.0,26797.9395372
2028,33765.0,26797.9395372
2029,33765.0,26797.9395372
2030,32788.0,25820.9395372
2031,32788.0,25820.9395372
2032,32788.0,25820.9395372
2033,32788.0,25820.9395372
2034,32788.0,25820.9395372
2035,32788.0,25820.9395372
2036,32788.0,25820.9395372
