year,Base case diesel consumed,Modeled non-residential energy efficiency
2017,24305.6351455,17986.1700077
2018,24305.6351455,17986.1700077
2019,24305.6351455,17986.1700077
2020,24305.6351455,17986.1700077
2021,24305.6351455,17986.1700077
2022,24305.6351455,17986.1700077
2023,24305.6351455,17986.1700077
2024,24305.6351455,17986.1700077
2025,24305.6351455,17986.1700077
2026,24305.6351455,17986.1700077
2027,24305.6351455,17986.1700077
2028,24305.6351455,17986.1700077
2029,24305.6351455,17986.1700077
2030,24305.6351455,17986.1700077
2031,24305.6351455,17986.1700077
