year,annotation,diesel generation efficiency
2002,,11.96
2003,,11.47
2004,,11.77
2005,,10.84
2006,,11.0
2007,,11.5
2008,,12.29
2009,,12.86
2010,,12.28
2011,,11.86
2012,,12.01
2013,,11.93
2014,start of forecast,11.93
2015,,11.93
2016,,11.93
2017,,11.93
2018,,11.93
2019,,11.93
2020,,11.93
2021,,11.93
2022,,11.93
2023,,11.93
2024,,11.93
2025,,11.93
2026,,11.93
2027,,11.93
2028,,11.93
2029,,11.93
2030,,11.93
2031,,11.93
2032,,11.93
2033,,11.93
2034,,11.93
2035,,11.93
2036,,11.93
2037,,11.93
2038,,11.93
2039,,11.93
2040,,11.93
